Symbol,Name,Acquired/Opened,Quantity,Market Value,Cost Basis, Cost per Share,($)Unrealized Gain/(Loss),(%)Unrealized Gain/(Loss),Holding Period,Original Cost Basis,(%)Original UGL Gain/Loss
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,10/4/22,1459,"$52,669.90 ","$32,900.45 ",$22.55 ,"$19,769.45 ",60.09%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,9,$324.90 ,$233.00 ,$25.89 ,$91.90 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,13,$469.30 ,$336.56 ,$25.89 ,$132.74 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,49,"$1,768.90 ","$1,268.58 ",$25.89 ,$500.32 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,35,"$1,263.50 ",$906.13 ,$25.89 ,$357.37 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,6/22/23,6,$216.60 ,$155.34 ,$25.89 ,$61.26 ,39.44%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,13,$469.30 ,$403.36 ,$31.03 ,$65.94 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,35,"$1,263.50 ","$1,085.98 ",$31.03 ,$177.52 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,40,"$1,444.00 ","$1,241.12 ",$31.03 ,$202.88 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,72,"$2,599.20 ","$2,234.02 ",$31.03 ,$365.18 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,4/9/24,16,$577.60 ,$496.45 ,$31.03 ,$81.15 ,16.35%,Long Term,,
DUHP,DIMENSIONAL US HIGH     PROFTBLTY ETF,7/19/24,241,"$8,700.10 ","$7,785.51 ",$32.31 ,$914.59 ,11.75%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,4/27/04,100,"$13,505.00 ","$5,520.00 ",$55.20 ,"$7,985.00 ",144.66%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,4/27/04,75,"$10,128.75 ","$4,140.00 ",$55.20 ,"$5,988.75 ",144.66%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,4/27/04,50,"$6,752.50 ","$2,760.00 ",$55.20 ,"$3,992.50 ",144.66%,Long Term,,
DVY,ISHARES SELECT DIVIDEND ETF,6/2/04,100,"$13,505.00 ","$5,497.00 ",$54.97 ,"$8,008.00 ",145.68%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,7/11/08,1562.54,"$195,051.87 ","$51,429.51 ",$32.91 ,"$143,622.36 ",279.26%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/19/08,14.355,"$1,791.93 ",$472.48 ,$32.91 ,"$1,319.45 ",279.26%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/21/09,5.745,$717.15 ,$189.09 ,$32.91 ,$528.06 ,279.26%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/20/10,4.517,$563.86 ,$148.67 ,$32.91 ,$415.19 ,279.27%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/19/11,2.532,$316.07 ,$83.34 ,$32.91 ,$232.73 ,279.25%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/12,8.601,"$1,073.66 ",$733.87 ,$85.32 ,$339.79 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/13,1.784,$222.70 ,$152.22 ,$85.32 ,$70.48 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/13,68.405,"$8,539.00 ","$5,836.57 ",$85.32 ,"$2,702.43 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/18/14,1.828,$228.19 ,$155.97 ,$85.32 ,$72.22 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/18/14,142.916,"$17,840.20 ","$12,194.12 ",$85.32 ,"$5,646.08 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/15,1.894,$236.43 ,$161.60 ,$85.32 ,$74.83 ,46.31%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/15,159.746,"$19,941.09 ","$13,630.12 ",$85.32 ,"$6,310.97 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/19/16,2.698,$336.79 ,$230.20 ,$85.32 ,$106.59 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/19/16,154.466,"$19,281.99 ","$13,179.61 ",$85.32 ,"$6,102.38 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/18/17,4.311,$538.14 ,$367.83 ,$85.32 ,$170.31 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/18/17,303.594,"$37,897.64 ","$25,903.76 ",$85.32 ,"$11,993.88 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/18,7.149,$892.41 ,$609.98 ,$85.32 ,$282.43 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/18,320.457,"$40,002.65 ","$27,342.57 ",$85.32 ,"$12,660.08 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/16/19,297.719,"$37,164.26 ","$25,402.48 ",$85.32 ,"$11,761.78 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/16/19,2.252,$281.12 ,$192.15 ,$85.32 ,$88.97 ,46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/17/20,434.415,"$54,228.02 ","$37,065.89 ",$85.32 ,"$17,162.13 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/20/21,779.937,"$97,359.54 ","$66,547.10 ",$85.32 ,"$30,812.44 ",46.30%,Long Term,,
HACAX,HARBOR CAPITAL APPRECIATION INSTL,12/20/24,459.872,"$57,405.82 ","$39,237.98 ",$85.32 ,"$18,167.84 ",46.30%,223 days,,
IJR,ISHARES CORE S&P SMALL  CAP ETF,7/28/08,400,"$44,112.00 ","$12,151.97 ",$30.38 ,"$31,960.03 ",263.00%,Long Term,,
IJR,ISHARES CORE S&P SMALL  CAP ETF,3/25/11,200,"$22,056.00 ","$7,145.90 ",$35.73 ,"$14,910.10 ",208.65%,Long Term,,
IJR,ISHARES CORE S&P SMALL  CAP ETF,7/31/13,20,"$2,205.60 ",$968.49 ,$48.42 ,"$1,237.11 ",127.74%,Long Term,,
IJR,ISHARES CORE S&P SMALL  CAP ETF,3/4/14,18,"$1,985.04 ","$1,006.74 ",$55.93 ,$978.30 ,97.18%,Long Term,,
IJR,ISHARES CORE S&P SMALL  CAP ETF,3/26/15,16,"$1,764.48 ",$934.54 ,$58.41 ,$829.94 ,88.81%,Long Term,,
IJR,ISHARES CORE S&P SMALL  CAP ETF,3/26/15,34,"$3,749.52 ","$1,985.90 ",$58.41 ,"$1,763.62 ",88.81%,Long Term,,
IJR,ISHARES CORE S&P SMALL  CAP ETF,6/2/16,50,"$5,514.00 ","$2,907.50 ",$58.15 ,"$2,606.50 ",89.65%,Long Term,,
IVV,ISHARES CORE S&P 500    ETF,6/28/12,23,"$14,602.70 ","$3,043.59 ",$132.33 ,"$11,559.11 ",379.79%,Long Term,,
IVV,ISHARES CORE S&P 500    ETF,3/26/13,6,"$3,809.40 ",$938.94 ,$156.49 ,"$2,870.46 ",305.71%,Long Term,,
IVV,ISHARES CORE S&P 500    ETF,10/13/14,6,"$3,809.40 ","$1,151.87 ",$191.98 ,"$2,657.53 ",230.71%,Long Term,,
IVV,ISHARES CORE S&P 500    ETF,1/27/16,22,"$13,967.80 ","$4,214.36 ",$191.56 ,"$9,753.44 ",231.43%,Long Term,,
IWD,ISHARES RUSSELL 1000    VALUE ETF,3/15/13,24,"$4,690.08 ","$1,953.12 ",$81.38 ,"$2,736.96 ",140.13%,Long Term,,
IWD,ISHARES RUSSELL 1000    VALUE ETF,3/26/13,24,"$4,690.08 ","$1,937.52 ",$80.73 ,"$2,752.56 ",142.07%,Long Term,,
IWD,ISHARES RUSSELL 1000    VALUE ETF,4/27/16,16,"$3,126.72 ","$1,633.12 ",$102.07 ,"$1,493.60 ",91.46%,Long Term,,
IWF,ISHARES RUSSELL 1000    GROWTH ETF,1/5/11,41,"$18,056.81 ","$2,369.78 ",$57.80 ,"$15,687.03 ",661.96%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,5/2/19,54,"$4,333.50 ","$2,815.78 ",$52.14 ,"$1,517.72 ",53.90%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,5/23/19,12,$963.00 ,$589.86 ,$49.16 ,$373.14 ,63.26%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,8/4/20,200,"$16,050.00 ","$8,880.00 ",$44.40 ,"$7,170.00 ",80.74%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,3/18/21,50,"$4,012.50 ","$3,340.25 ",$66.81 ,$672.25 ,20.13%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,3/18/21,30,"$2,407.50 ","$2,009.40 ",$66.98 ,$398.10 ,19.81%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,3/18/21,22,"$1,765.50 ","$1,473.78 ",$66.99 ,$291.72 ,19.79%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,3/18/21,15,"$1,203.75 ","$1,004.93 ",$67.00 ,$198.82 ,19.78%,Long Term,,
MDYV,SPDR S&P 400 MID CAP    VALUE ETF,3/18/21,15,"$1,203.75 ","$1,006.30 ",$67.09 ,$197.45 ,19.62%,Long Term,,
OAKMX,OAKMARK INVESTOR,11/19/24,50.864,"$8,199.28 ",$0.00 ,$0.00 ,"$8,199.28 ",100.00%,254 days,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/08,26.927,"$2,075.80 ","$1,118.41 ",$41.53 ,$957.39 ,85.60%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/17/09,36.849,"$2,840.69 ","$1,530.51 ",$41.53 ,"$1,310.18 ",85.60%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/17/10,38.762,"$2,988.16 ","$1,609.97 ",$41.53 ,"$1,378.19 ",85.60%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/11,34.224,"$2,638.33 ","$1,421.49 ",$41.53 ,"$1,216.84 ",85.60%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/11,32.569,"$2,510.74 ","$1,352.75 ",$41.53 ,"$1,157.99 ",85.60%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/12,10.08,$777.07 ,$559.44 ,$55.50 ,$217.63 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/12,58.595,"$4,517.09 ","$3,252.01 ",$55.50 ,"$1,265.08 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/12,32.225,"$2,484.23 ","$1,788.48 ",$55.50 ,$695.75 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/12,13.338,"$1,028.23 ",$740.26 ,$55.50 ,$287.97 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/13,16.172,"$1,246.70 ",$897.54 ,$55.50 ,$349.16 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/13,71.078,"$5,479.40 ","$3,944.81 ",$55.50 ,"$1,534.59 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/13,38.538,"$2,970.89 ","$2,138.85 ",$55.50 ,$832.04 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/17/14,9.335,$719.64 ,$518.09 ,$55.50 ,$201.55 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/17/14,23.336,"$1,798.97 ","$1,295.14 ",$55.50 ,$503.83 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/17/14,115.422,"$8,897.88 ","$6,405.89 ",$55.50 ,"$2,491.99 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/15,11.531,$888.92 ,$639.97 ,$55.50 ,$248.95 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/15,27.496,"$2,119.67 ","$1,526.02 ",$55.50 ,$593.65 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/15,1.829,$141.00 ,$101.51 ,$55.50 ,$39.49 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/15/16,13.377,"$1,031.23 ",$742.42 ,$55.50 ,$288.81 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/15/16,3.411,$262.95 ,$189.31 ,$55.50 ,$73.64 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/15/16,86.815,"$6,692.57 ","$4,818.21 ",$55.50 ,"$1,874.36 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/17,15.7,"$1,210.31 ",$871.35 ,$55.50 ,$338.96 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/17,51.383,"$3,961.12 ","$2,851.74 ",$55.50 ,"$1,109.38 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/14/17,2.102,$162.04 ,$116.66 ,$55.50 ,$45.38 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/13/18,18.26,"$1,407.66 ","$1,013.43 ",$55.50 ,$394.23 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/13/18,83.55,"$6,440.87 ","$4,637.01 ",$55.50 ,"$1,803.86 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/13/18,1.58,$121.80 ,$87.69 ,$55.50 ,$34.11 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/19,71.958,"$5,547.24 ","$3,993.65 ",$55.50 ,"$1,553.59 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/18/19,25.987,"$2,003.34 ","$1,442.27 ",$55.50 ,$561.07 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/1/20,28.498,"$2,196.91 ","$1,581.63 ",$55.50 ,$615.28 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/1/20,19.607,"$1,511.50 ","$1,088.18 ",$55.50 ,$423.32 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/1/21,1.579,$121.73 ,$87.63 ,$55.50 ,$34.10 ,38.91%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/1/21,81.915,"$6,314.83 ","$4,546.26 ",$55.50 ,"$1,768.57 ",38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/1/21,41.985,"$3,236.62 ","$2,330.16 ",$55.50 ,$906.46 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/1/22,4.113,$317.07 ,$228.27 ,$55.50 ,$88.80 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/1/22,45.532,"$3,510.06 ","$2,527.02 ",$55.50 ,$983.04 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/5/23,27.47,"$2,117.66 ","$1,524.58 ",$55.50 ,$593.08 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/5/23,18.841,"$1,452.45 ","$1,045.67 ",$55.50 ,$406.78 ,38.90%,Long Term,,
SGIIX,FIRST EAGLE GLOBAL I,12/5/24,0.477,$36.77 ,$26.47 ,$55.50 ,$10.30 ,38.91%,238 days,,
SGIIX,FIRST EAGLE GLOBAL I,12/5/24,35.974,"$2,773.24 ","$1,996.55 ",$55.50 ,$776.69 ,38.90%,238 days,,
VBR,VANGUARD SMALL CAP VALUEETF,4/27/16,47,"$9,318.69 ","$4,938.29 ",$105.07 ,"$4,380.40 ",88.70%,Long Term,,
VBR,VANGUARD SMALL CAP VALUEETF,5/27/16,46,"$9,120.42 ","$4,814.82 ",$104.67 ,"$4,305.60 ",89.42%,Long Term,,
VBR,VANGUARD SMALL CAP VALUEETF,7/19/16,22,"$4,361.94 ","$2,402.40 ",$109.20 ,"$1,959.54 ",81.57%,Long Term,,
VEA,VANGUARD FTSE DEVELOPED MARKETS ETF,4/8/16,450,"$25,299.00 ","$15,986.03 ",$35.52 ,"$9,312.97 ",58.26%,Long Term,,
VEA,VANGUARD FTSE DEVELOPED MARKETS ETF,4/27/16,707,"$39,747.54 ","$26,325.36 ",$37.24 ,"$13,422.18 ",50.99%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,1/5/11,90,"$5,994.00 ","$4,304.96 ",$47.83 ,"$1,689.04 ",39.23%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,6/28/12,3,$199.80 ,$118.07 ,$39.36 ,$81.73 ,69.22%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,6/28/12,27,"$1,798.20 ","$1,063.24 ",$39.38 ,$734.96 ,69.12%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,7/31/13,21,"$1,398.60 ",$972.77 ,$46.32 ,$425.83 ,43.77%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,3/26/15,20,"$1,332.00 ",$980.88 ,$49.04 ,$351.12 ,35.80%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,3/26/15,40,"$2,664.00 ","$1,961.97 ",$49.05 ,$702.03 ,35.78%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,1/27/16,68,"$4,528.80 ","$2,747.14 ",$40.40 ,"$1,781.66 ",64.86%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,4/27/16,138,"$9,190.80 ","$6,165.58 ",$44.68 ,"$3,025.22 ",49.07%,Long Term,,
