Symbol,Name,Acquired/Opened,Quantity,Market Value,Cost Basis, Cost per Share,($)Unrealized Gain/(Loss),(%)Unrealized Gain/(Loss),Holding Period,Original Cost Basis,(%)Original UGL Gain/Loss
VEU,VANGUARD FTSE ALL WORLD EX US ETF,4/27/16,55,"$3,663.00 ","$2,457.42 ",$44.68 ,"$1,205.58 ",49.06%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,5/27/16,12,$799.20 ,$526.19 ,$43.85 ,$273.01 ,51.88%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,6/2/16,14,$932.40 ,$609.78 ,$43.56 ,$322.62 ,52.91%,Long Term,,
VEU,VANGUARD FTSE ALL WORLD EX US ETF,3/31/17,10,$666.00 ,$478.94 ,$47.89 ,$187.06 ,39.06%,Long Term,,
VIG,VANGUARD DIVIDEND       APPRECIATION ETF,6/28/12,32,"$6,593.92 ","$1,761.92 ",$55.06 ,"$4,832.00 ",274.25%,Long Term,,
VIG,VANGUARD DIVIDEND       APPRECIATION ETF,10/13/14,26,"$5,357.56 ","$1,955.46 ",$75.21 ,"$3,402.10 ",173.98%,Long Term,,
VIG,VANGUARD DIVIDEND       APPRECIATION ETF,2/16/16,975,"$200,908.50 ","$73,485.75 ",$75.37 ,"$127,422.75 ",173.40%,Long Term,,
VIG,VANGUARD DIVIDEND       APPRECIATION ETF,2/22/16,25,"$5,151.50 ","$1,927.75 ",$77.11 ,"$3,223.75 ",167.23%,Long Term,,
VIG,VANGUARD DIVIDEND       APPRECIATION ETF,2/22/16,500,"$103,030.00 ","$38,555.00 ",$77.11 ,"$64,475.00 ",167.23%,Long Term,,
VIG,VANGUARD DIVIDEND       APPRECIATION ETF,5/27/16,42,"$8,654.52 ","$3,438.16 ",$81.86 ,"$5,216.36 ",151.72%,Long Term,,
VOOG,VANGUARD S&P 500 GROWTH ETF,10/12/22,240,"$98,604.00 ","$49,350.48 ",$205.63 ,"$49,253.52 ",99.80%,Long Term,,
VOOV,VANGUARD S&P 500 VALUE  ETF,10/12/22,194,"$36,960.88 ","$24,465.30 ",$126.11 ,"$12,495.58 ",51.07%,Long Term,,
VOT,VANGUARD MID CAP GROWTH ETF,5/9/17,84,"$24,459.12 ","$9,751.56 ",$116.09 ,"$14,707.56 ",150.82%,Long Term,,
VOT,VANGUARD MID CAP GROWTH ETF,7/22/24,31,"$9,026.58 ","$7,225.79 ",$233.09 ,"$1,800.79 ",24.92%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,5/3/07,356.243,"$12,992.18 ","$7,447.76 ",$20.91 ,"$5,544.42 ",74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,5/3/07,282.876,"$10,316.49 ","$5,913.92 ",$20.91 ,"$4,402.57 ",74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/07,4.368,$159.30 ,$91.32 ,$20.91 ,$67.98 ,74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/07,2.462,$89.79 ,$51.47 ,$20.91 ,$38.32 ,74.45%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/07,6.711,$244.75 ,$140.30 ,$20.91 ,$104.45 ,74.45%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/07,3.742,$136.47 ,$78.23 ,$20.91 ,$58.24 ,74.45%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/07,2.109,$76.92 ,$44.09 ,$20.91 ,$32.83 ,74.46%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/07,5.749,$209.67 ,$120.19 ,$20.91 ,$89.48 ,74.45%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/29/08,7.156,$260.98 ,$149.61 ,$20.91 ,$111.37 ,74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/29/08,6.13,$223.56 ,$128.16 ,$20.91 ,$95.40 ,74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/31/09,4.093,$149.27 ,$85.57 ,$20.91 ,$63.70 ,74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/31/09,3.506,$127.86 ,$73.30 ,$20.91 ,$54.56 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/29/10,5.542,$202.12 ,$115.86 ,$20.91 ,$86.26 ,74.45%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/29/10,4.747,$173.12 ,$99.24 ,$20.91 ,$73.88 ,74.45%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/28/11,6.512,$237.49 ,$136.14 ,$20.91 ,$101.35 ,74.45%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/28/11,5.578,$203.43 ,$116.62 ,$20.91 ,$86.81 ,74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/12,9.529,$347.52 ,$199.24 ,$20.91 ,$148.28 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/12,9.786,$356.90 ,$204.61 ,$20.91 ,$152.29 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/12,8.163,$297.70 ,$170.68 ,$20.91 ,$127.02 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/12,8.383,$305.73 ,$175.28 ,$20.91 ,$130.45 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/13,5.383,$196.32 ,$112.55 ,$20.91 ,$83.77 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/13,20.475,$746.72 ,$428.10 ,$20.91 ,$318.62 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/13,4.612,$168.20 ,$96.43 ,$20.91 ,$71.77 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/13,17.54,$639.68 ,$366.74 ,$20.91 ,$272.94 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/23/14,7.324,$267.11 ,$153.13 ,$20.91 ,$113.98 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/23/14,1.004,$36.62 ,$20.99 ,$20.91 ,$15.63 ,74.46%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/23/14,34.181,"$1,246.58 ",$714.67 ,$20.91 ,$531.91 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/23/14,6.275,$228.85 ,$131.20 ,$20.91 ,$97.65 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/23/14,0.86,$31.36 ,$17.98 ,$20.91 ,$13.38 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/23/14,29.281,"$1,067.88 ",$612.22 ,$20.91 ,$455.66 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/28/15,7.37,$268.78 ,$154.10 ,$20.91 ,$114.68 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/28/15,23.931,$872.76 ,$500.36 ,$20.91 ,$372.40 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/28/15,6.314,$230.27 ,$132.02 ,$20.91 ,$98.25 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/28/15,20.5,$747.63 ,$428.62 ,$20.91 ,$319.01 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/27/16,1.017,$37.09 ,$21.26 ,$20.91 ,$15.83 ,74.46%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/27/16,27.149,$990.12 ,$567.65 ,$20.91 ,$422.47 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/27/16,8.267,$301.50 ,$172.85 ,$20.91 ,$128.65 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/27/16,0.871,$31.77 ,$18.21 ,$20.91 ,$13.56 ,74.46%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/27/16,23.257,$848.18 ,$486.27 ,$20.91 ,$361.91 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/27/16,7.082,$258.28 ,$148.07 ,$20.91 ,$110.21 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/17,7.472,$272.50 ,$156.23 ,$20.91 ,$116.27 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/17,0.679,$24.76 ,$14.20 ,$20.91 ,$10.56 ,74.37%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/17,20.555,$749.64 ,$429.77 ,$20.91 ,$319.87 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/17,6.401,$233.44 ,$133.84 ,$20.91 ,$99.60 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/17,0.581,$21.19 ,$12.15 ,$20.91 ,$9.04 ,74.40%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/17,17.608,$642.16 ,$368.16 ,$20.91 ,$274.00 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/18,9.951,$362.91 ,$208.06 ,$20.91 ,$154.85 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/18,0.658,$24.00 ,$13.76 ,$20.91 ,$10.24 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/18,57.686,"$2,103.81 ","$1,206.13 ",$20.91 ,$897.68 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/18,8.524,$310.87 ,$178.22 ,$20.91 ,$132.65 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/18,0.564,$20.57 ,$11.79 ,$20.91 ,$8.78 ,74.47%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/18,49.417,"$1,802.24 ","$1,033.24 ",$20.91 ,$769.00 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/19,11.177,$407.63 ,$233.69 ,$20.91 ,$173.94 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/19,1.946,$70.97 ,$40.69 ,$20.91 ,$30.28 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/19,43.13,"$1,572.95 ",$901.79 ,$20.91 ,$671.16 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/19,9.575,$349.20 ,$200.20 ,$20.91 ,$149.00 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/19,1.667,$60.80 ,$34.85 ,$20.91 ,$25.95 ,74.46%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/18/19,36.948,"$1,347.49 ",$772.53 ,$20.91 ,$574.96 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/22/20,0.105,$3.83 ,$2.20 ,$20.91 ,$1.63 ,74.09%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/22/20,57.722,"$2,105.12 ","$1,206.88 ",$20.91 ,$898.24 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/22/20,10.684,$389.65 ,$223.39 ,$20.91 ,$166.26 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/22/20,0.09,$3.28 ,$1.88 ,$20.91 ,$1.40 ,74.47%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/22/20,49.448,"$1,803.37 ","$1,033.89 ",$20.91 ,$769.48 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/22/20,9.153,$333.81 ,$191.38 ,$20.91 ,$142.43 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/21/21,48.35,"$1,763.32 ","$1,010.93 ",$20.91 ,$752.39 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/21/21,5.667,$206.68 ,$118.49 ,$20.91 ,$88.19 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/21/21,1.549,$56.49 ,$32.39 ,$20.91 ,$24.10 ,74.41%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/21/21,40.019,"$1,459.49 ",$836.74 ,$20.91 ,$622.75 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/21/21,4.691,$171.08 ,$98.08 ,$20.91 ,$73.00 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/21/21,1.282,$46.75 ,$26.80 ,$20.91 ,$19.95 ,74.44%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/20/22,0.036,$1.31 ,$0.75 ,$20.91 ,$0.56 ,74.67%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/20/22,58.431,"$2,130.98 ","$1,221.71 ",$20.91 ,$909.27 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/20/22,11.13,$405.91 ,$232.71 ,$20.91 ,$173.20 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/20/22,0.03,$1.09 ,$0.63 ,$20.91 ,$0.46 ,73.02%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/20/22,48.363,"$1,763.80 ","$1,011.20 ",$20.91 ,$752.60 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/20/22,9.212,$335.96 ,$192.61 ,$20.91 ,$143.35 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/23,39.861,"$1,453.73 ",$833.44 ,$20.91 ,$620.29 ,74.43%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/23,0.488,$17.80 ,$10.20 ,$20.91 ,$7.60 ,74.51%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/23,11.311,$412.51 ,$236.50 ,$20.91 ,$176.01 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/23,9.362,$341.43 ,$195.75 ,$20.91 ,$145.68 ,74.42%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/23,0.403,$14.70 ,$8.43 ,$20.91 ,$6.27 ,74.38%,Long Term,,
VPCCX,VANGUARD PRIMECAP CORE INV,12/19/23,32.993,"$1,203.25 ",$689.84 ,$20.91 ,$513.41 ,74.42%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,8/20/09,50,"$15,544.50 ","$2,552.94 ",$51.06 ,"$12,991.56 ",508.89%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,10/27/09,50,"$15,544.50 ","$2,700.44 ",$54.01 ,"$12,844.06 ",475.63%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,10/27/09,50,"$15,544.50 ","$2,705.44 ",$54.11 ,"$12,839.06 ",474.56%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,3/26/13,11,"$3,419.79 ",$884.17 ,$80.38 ,"$2,535.62 ",286.78%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,5/16/14,10,"$3,108.90 ",$967.20 ,$96.72 ,"$2,141.70 ",221.43%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,2/12/15,9,"$2,798.01 ",$970.27 ,$107.81 ,"$1,827.74 ",188.37%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,2/12/15,9,"$2,798.01 ",$970.28 ,$107.81 ,"$1,827.73 ",188.37%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,4/27/16,103,"$32,021.67 ","$10,999.23 ",$106.79 ,"$21,022.44 ",191.13%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,4/27/16,161,"$50,053.29 ","$17,192.06 ",$106.78 ,"$32,861.23 ",191.14%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,6/2/16,27,"$8,394.03 ","$2,897.91 ",$107.33 ,"$5,496.12 ",189.66%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,6/2/16,12,"$3,730.68 ","$1,289.40 ",$107.45 ,"$2,441.28 ",189.33%,Long Term,,
VTI,VANGUARD TOTAL STOCK    MARKET ETF,7/19/16,4,"$1,243.56 ",$442.52 ,$110.63 ,$801.04 ,181.02%,Long Term,,
VTV,VANGUARD VALUE ETF,2/16/16,1212,"$214,572.48 ","$92,681.52 ",$76.47 ,"$121,890.96 ",131.52%,Long Term,,
VTV,VANGUARD VALUE ETF,4/8/16,188,"$33,283.52 ","$15,423.52 ",$82.04 ,"$17,860.00 ",115.80%,Long Term,,
VTV,VANGUARD VALUE ETF,4/27/16,35,"$6,196.40 ","$2,963.56 ",$84.67 ,"$3,232.84 ",109.09%,Long Term,,
VTV,VANGUARD VALUE ETF,4/27/16,109,"$19,297.36 ","$9,231.20 ",$84.69 ,"$10,066.16 ",109.04%,Long Term,,
VTV,VANGUARD VALUE ETF,5/27/16,48,"$8,497.92 ","$4,051.20 ",$84.40 ,"$4,446.72 ",109.76%,Long Term,,
VTV,VANGUARD VALUE ETF,6/2/16,30,"$5,311.20 ","$2,533.50 ",$84.45 ,"$2,777.70 ",109.64%,Long Term,,
VTV,VANGUARD VALUE ETF,6/2/16,15,"$2,655.60 ","$1,267.95 ",$84.53 ,"$1,387.65 ",109.44%,Long Term,,
VTV,VANGUARD VALUE ETF,7/19/16,42,"$7,435.68 ","$3,671.22 ",$87.41 ,"$3,764.46 ",102.54%,Long Term,,
VTV,VANGUARD VALUE ETF,3/31/17,5,$885.20 ,$478.20 ,$95.64 ,$407.00 ,85.11%,Long Term,,
VUG,VANGUARD GROWTH ETF,7/11/08,150,"$68,277.00 ","$8,520.48 ",$56.80 ,"$59,756.52 ",701.33%,Long Term,,
VUG,VANGUARD GROWTH ETF,11/4/10,130,"$59,173.40 ","$7,747.99 ",$59.60 ,"$51,425.41 ",663.73%,Long Term,,
VUG,VANGUARD GROWTH ETF,3/26/13,13,"$5,917.34 ","$1,000.73 ",$76.98 ,"$4,916.61 ",491.30%,Long Term,,
VYM,VANGUARD HIGH DIVIDEND  YIELD ETF,1/5/11,70,"$9,389.10 ","$2,977.79 ",$42.54 ,"$6,411.31 ",215.30%,Long Term,,
VYM,VANGUARD HIGH DIVIDEND  YIELD ETF,8/16/11,100,"$13,413.00 ","$4,146.99 ",$41.47 ,"$9,266.01 ",223.44%,Long Term,,
VYM,VANGUARD HIGH DIVIDEND  YIELD ETF,8/16/11,1200,"$160,956.00 ","$49,788.00 ",$41.49 ,"$111,168.00 ",223.28%,Long Term,,
VYM,VANGUARD HIGH DIVIDEND  YIELD ETF,5/16/14,15,"$2,011.95 ",$959.70 ,$63.98 ,"$1,052.25 ",109.64%,Long Term,,